,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,X,LAT,LON,idx,NBR_LIST,NBR_COUNT,NBR_MATCH,latcut,loncut,Bin,CALL_LIST,BLIGHT_LIST,CRIME_LIST
19,19,126070,126070,126070,42.3246070885,-83.0767320196,126070,[],0,False,4.0,6.0,46,[],[],[]
20,20,130102,130102,130102,42.418361298,-83.0532557196,130102,[],0,False,9.0,7.0,97,[],[],[]
21,21,191805,191805,191806,42.4102722674,-82.9945429103,191806,[21],1,True,9.0,8.0,98,[],"['Bulk solid waste deposited more than 24 hours before designated time', 'Failure of owner to keep property, its sidewalks, or adjoining public property free from solid waste', 'Allowing bulk solid waste to lie or accumulate on or about the premises']",[]
22,22,199580,199580,199581,42.4307583336,-83.1084430687,199581,[4967],1,True,,5.0,NA5,[],[],[]
23,23,320482,320482,320484,42.3880475969,-83.2419221565,320484,"[2561, 3612]",2,True,7.0,1.0,71,[],"['Failure of owner to obtain certificate of compliance', 'Failure of owner to keep property, its sidewalks, or adjoining public property free from solid waste']",[]
24,24,86537,86537,86537,42.3944778469,-83.0360687304,86537,[],0,False,8.0,7.0,87,[],[],[]
25,25,302617,302617,302619,42.4058863246,-83.0454887227,302619,[],0,False,8.0,7.0,87,[],[],[]
26,26,120393,120393,120393,42.4397728779,-83.1593844169,120393,[],0,False,,4.0,NA4,[],[],['DAMAGE TO PROPERTY']
27,27,215329,215329,215330,42.3962470336,-83.2018072684,215330,[],0,False,8.0,3.0,83,[],[],"['STOLEN PROPERTY', 'AGGRAVATED ASSAULT']"
28,28,300182,300182,300184,42.3857969394,-82.9505027399,300184,[],0,False,7.0,9.0,79,['Illegal Dumping / Illegal Dump Sites'],[],['STOLEN VEHICLE']
29,29,152067,152067,152067,42.3004986728,-83.0994269413,152067,[],0,False,3.0,6.0,36,[],[],[]
30,30,351426,351426,351428,42.3011976882,-83.1216428978,351428,"[2973, 4496]",2,True,2.0,5.0,25,['Potholes'],"['Failure of owner to obtain certificate of compliance', 'Failure to obtain certificate of registration for rental property', 'Allowing bulk solid waste to lie or accumulate on or about the premises', 'Allowing bulk solid waste to lie or accumulate on or about the premises', 'Excessive weeds or plant growth one- or two-family dwelling or commercial Building']",[]
31,31,30554,30554,30553,42.3522659383,-82.9992682509,30553,[2781],1,True,5.0,8.0,58,[],"['Failure of owner to keep property, its sidewalks, or adjoining public property free from solid waste', 'Failure of owner to obtain certificate of compliance', 'Failed to obtain the required Certificate of registration for Vacant Building', 'Failure to maintain a vacant building or structure in accordance with the requirements of Section 9-1-113 of the Detroit City Code: (1) - (12) (One or Two Family dwelling)', 'Excessive weeds or plant growth one- or two-family dwelling or commercial Building']",[]
32,32,306554,306554,306556,42.3489420672,-83.1252514367,306556,[],0,False,5.0,5.0,55,[],[],['TRAFFIC VIOLATIONS-MOTORCYCLE VIOLATIONS']
33,33,160711,160711,160712,42.3552775546,-83.128984434,160712,[],0,False,6.0,5.0,65,[],[],[]
34,34,35566,35566,35565,42.3329616205,-83.1386508908,35565,[255],1,True,4.0,4.0,44,[],[],[]
35,35,143558,143558,143558,42.3967559353,-83.1179870042,143558,[],0,False,8.0,5.0,85,[],[],[]
36,36,190998,190998,190999,42.3561690411,-83.1175219628,190999,[],0,False,6.0,5.0,65,[],[],['FRAUD']
37,37,274575,274575,274577,42.396878588,-83.2501161335,274577,[],0,False,8.0,1.0,81,[],[],[]
38,38,158759,158759,158759,42.4300042405,-82.978185096,158759,[5526],1,True,,9.0,NA9,[],[],[]
39,39,81815,81815,81815,42.4225307785,-82.9713316403,81815,[4467],1,True,9.0,9.0,99,[],[],[]
40,40,376923,376923,376925,42.3550811112,-83.1854817955,376925,[],0,False,6.0,3.0,63,[],[],[]
41,41,72904,72904,72904,42.425300273,-82.969923159,72904,[4348],1,True,9.0,9.0,99,[],"['Failure of owner to obtain certificate of compliance', 'Failure to obtain certificate of registration for rental property', 'Failure of owner to obtain certificate of compliance']",['STOLEN VEHICLE']
42,42,344024,344024,344026,42.3731630469,-83.165015857,344026,[],0,False,7.0,4.0,74,[],[],['BURGLARY']
43,43,286779,286779,286781,42.3747034649,-83.0916725498,286781,[],0,False,7.0,6.0,76,[],['Allowing bulk solid waste to lie or accumulate on or about the premises'],['TRAFFIC VIOLATIONS-MOTORCYCLE VIOLATIONS']
44,44,2167,2167,2166,42.4205700372,-83.248640135,2166,[],0,False,9.0,2.0,92,[],[],[]
45,45,71827,71827,71827,42.4219362291,-82.9956414247,71827,[],0,False,9.0,8.0,98,[],[],[]
46,46,364606,364606,364608,42.3840180777,-83.2164822255,364608,[],0,False,7.0,2.0,72,[],[],['STOLEN VEHICLE']
47,47,340144,340144,340146,42.4483556787,-82.9802666169,340146,[],0,False,,9.0,NA9,['Illegal Dumping / Illegal Dump Sites'],[],['STOLEN VEHICLE']
48,48,180540,180540,180541,42.3567345081,-82.9613475814,180541,[],0,False,6.0,9.0,69,[],[],[]
49,49,251819,251819,251820,42.3323260781,-83.0890405028,251820,[3335],1,True,4.0,6.0,46,[],"['Failure of owner to keep property, its sidewalks, or adjoining public property free from solid waste']",[]
50,50,149127,149127,149127,42.3294996037,-83.1093619538,149127,[],0,False,4.0,5.0,45,[],[],[]
51,51,155141,155141,155141,42.3963284478,-83.127799976,155141,[],0,False,8.0,5.0,85,[],[],[]
52,52,203304,203304,203305,42.3940443534,-83.0406027161,203305,"[3909, 3910]",2,True,8.0,7.0,87,[],[],[]
53,53,246943,246943,246944,42.3069951823,-83.1329518803,246944,"[3016, 4561]",2,True,2.0,4.0,24,[],"['Failure of owner to obtain certificate of compliance', 'Failure to obtain certificate of registration for rental property', 'Failure of owner to obtain certificate of compliance', 'Failure to obtain certificate of registration for rental property']",[]
54,54,47645,47645,47644,42.2981217022,-83.1296038792,47644,[2787],1,True,1.0,5.0,15,[],[],['ASSAULT']
55,55,277858,277858,277860,42.372939504,-83.124259463,277860,[],0,False,7.0,5.0,75,[],[],[]
56,56,40385,40385,40384,42.4391112317,-82.9685327015,40384,[4851],1,True,,9.0,NA9,[],"['Failure of owner to keep property, its sidewalks, or adjoining public property free from solid waste', 'Failure of owner to keep property, its sidewalks, or adjoining public property free from solid waste', 'Failure of owner to keep property, its sidewalks, or adjoining public property free from solid waste', 'Failure of owner to keep property, its sidewalks, or adjoining public property free from solid waste', 'Allowing bulk solid waste to lie or accumulate on or about the premises', 'Excessive weeds or plant growth one- or two-family dwelling or commercial Building', 'Allowing bulk solid waste to lie or accumulate on or about the premises']",['DANGEROUS DRUGS']
57,57,198631,198631,198632,42.3892059273,-82.9509627438,198632,[5246],1,True,7.0,,7NA,['Running Water in a Home or Building'],"['Failure of owner of one- or two-family dwelling to comply with an emergency or imminent danger order concerining an unsafe or unsanitary structure or unlawful occupancy', 'Failure of owner of one- or two-family dwelling to comply with an emergency or imminent danger order concerining an unsafe or unsanitary structure or unlawful occupancy', 'Failure of owner to obtain certificate of compliance', 'Failure to obtain certificate of registration for rental property']",[]
58,58,323807,323807,323809,42.4017759474,-83.1394239479,323809,[],0,False,8.0,5.0,85,[],[],[]
59,59,223060,223060,223061,42.3866868714,-83.0373772128,223061,[],0,False,7.0,7.0,77,[],[],[]
60,60,237048,237048,237049,42.4142972635,-83.015635325,237049,"[6717, 6718]",2,True,9.0,8.0,98,[],[],[]
61,61,374305,374305,374307,42.4274552812,-82.9626522274,374307,[],0,False,9.0,9.0,99,[],[],"['DAMAGE TO PROPERTY', 'BURGLARY']"
62,62,65116,65116,65116,42.4452792358,-83.0645772263,65116,[],0,False,,6.0,NA6,[],[],['AGGRAVATED ASSAULT']
63,63,271652,271652,271654,42.4248008422,-83.1029140787,271654,[1479],1,True,9.0,5.0,95,[],[],[]
64,64,126660,126660,126660,42.42371328,-82.9686756661,126660,[4883],1,True,9.0,9.0,99,[],[],[]
65,65,163967,163967,163968,42.3038011878,-83.1297518844,163968,"[2792, 4530, 4531, 5301]",4,True,2.0,5.0,25,[],"['Failure of owner to obtain certificate of compliance', 'Failure to obtain certificate of registration for rental property', 'Failure of owner to obtain certificate of compliance', 'Failure to obtain certificate of registration for rental property']",[]
66,66,34677,34677,34676,42.4274857868,-82.9599492514,34676,[6064],1,True,9.0,,9NA,[],[],[]
67,67,360813,360813,360815,42.4255047716,-83.0490447445,360815,[],0,False,9.0,7.0,97,[],[],[]
68,68,234853,234853,234854,42.3039716901,-83.1333248766,234854,[4555],1,True,2.0,4.0,24,['Illegal Dumping / Illegal Dump Sites'],['Excessive weeds or plant growth one- or two-family dwelling or commercial Building'],['DAMAGE TO PROPERTY']
69,69,281746,281746,281748,42.4152623338,-83.0750426504,281748,[],0,False,9.0,6.0,96,[],[],[]
70,70,198246,198246,198247,42.2597008183,-83.1585347958,198247,[],0,False,,4.0,NA4,[],[],[]
71,71,371770,371770,371772,42.4272287487,-82.9786320861,371772,[4880],1,True,9.0,9.0,99,[],"['Failure of owner to keep property, its sidewalks, or adjoining public property free from solid waste']",[]
72,72,181496,181496,181497,42.3564934292,-82.9973147755,181497,[1911],1,True,5.0,8.0,58,[],[],['ASSAULT']
73,73,105176,105176,105176,42.4228842284,-83.0087243621,105176,[],0,False,9.0,8.0,98,[],[],"['HEALTH-SAFETY', 'TRAFFIC VIOLATIONS-MOTORCYCLE VIOLATIONS']"
74,74,102839,102839,102839,42.4273257278,-82.9883175006,102839,[1556],1,True,9.0,9.0,99,[],"['Failure of owner to obtain certificate of compliance', 'Failure to obtain certificate of registration for rental property', 'Failure of owner to comply with an emergency or imminent danger order of one- or two-family dwelling or building', 'Failure to obtain certificate of registration for rental property', 'Failure of owner to obtain certificate of compliance']",[]
75,75,339584,339584,339586,42.3551205817,-83.1561998669,339586,[],0,False,6.0,4.0,64,[],[],['BURGLARY']
76,76,293459,293459,293461,42.3504031469,-83.2116617301,293461,[],0,False,6.0,2.0,62,[],[],[]
77,77,31228,31228,31227,42.3412750617,-83.0974649946,31227,"[1486, 1982]",2,True,5.0,6.0,56,[],['Failure of owner to obtain certificate of compliance'],['DAMAGE TO PROPERTY']
78,78,328805,328805,328807,42.4216252659,-82.9787855728,328807,[3784],1,True,9.0,9.0,99,[],[],[]
79,79,126771,126771,126771,42.3778503663,-83.0086077733,126771,[],0,False,7.0,8.0,78,[],[],['TRAFFIC VIOLATIONS-MOTORCYCLE VIOLATIONS']
80,80,203057,203057,203058,42.3659376048,-83.2041692531,203058,[],0,False,6.0,3.0,63,[],[],[]
81,81,237939,237939,237940,42.3340610145,-83.0238161531,237940,"[3406, 3407]",2,True,4.0,8.0,48,[],[],[]
82,82,47869,47869,47868,42.3144766338,-83.0975169621,47868,[5363],1,True,3.0,6.0,36,[],"['Failure of owner to obtain certificate of compliance', 'Failure of owner to obtain certificate of compliance', 'Failure to obtain certificate of registration for rental property']","['TRAFFIC VIOLATIONS-MOTORCYCLE VIOLATIONS', 'DAMAGE TO PROPERTY']"
83,83,242057,242057,242058,42.388034576,-83.2227382089,242058,[],0,False,7.0,2.0,72,[],[],[]
84,84,104071,104071,104071,42.4324986951,-82.9963344407,104071,[],0,False,,8.0,NA8,[],[],['DAMAGE TO PROPERTY']
85,85,96456,96456,96456,42.3492035477,-83.1058799837,96456,[],0,False,5.0,5.0,55,[],[],[]
86,86,139840,139840,139840,42.4003154187,-83.1118095253,139840,"[7073, 7074]",2,True,8.0,5.0,85,[],[],[]
87,87,377238,377238,377240,42.4392447762,-83.0822191612,377240,[],0,False,,6.0,NA6,[],[],['TRAFFIC VIOLATIONS-MOTORCYCLE VIOLATIONS']
88,88,55216,55216,55215,42.3555899495,-83.0234406933,55215,[4613],1,True,5.0,8.0,58,[],[],[]
89,89,325357,325357,325359,42.4273342286,-82.987959504,325359,[1556],1,True,9.0,9.0,99,[],"['Failure of owner to obtain certificate of compliance', 'Failure to obtain certificate of registration for rental property', 'Failure of owner to comply with an emergency or imminent danger order of one- or two-family dwelling or building', 'Failure to obtain certificate of registration for rental property', 'Failure of owner to obtain certificate of compliance']",[]
90,90,84090,84090,84090,42.4232869175,-83.1587649079,84090,[],0,False,9.0,4.0,94,[],[],[]
91,91,342735,342735,342737,42.3494151494,-83.2114597309,342737,[],0,False,5.0,2.0,52,[],[],['STOLEN VEHICLE']
92,92,329769,329769,329771,42.4354336898,-83.0086343871,329771,[],0,False,,8.0,NA8,[],[],[]
93,93,20644,20644,20643,42.3478366804,-83.2631321197,20643,[],0,False,5.0,1.0,51,"['Potholes', 'Potholes']",[],[]
94,94,139617,139617,139617,42.4306532682,-82.9641182216,139617,[6004],1,True,,9.0,NA9,[],['Allowing bulk solid waste to lie or accumulate on or about the premises'],[]
95,95,17591,17591,17590,42.3491184902,-83.0453111291,17590,[],0,False,5.0,7.0,57,[],[],[]
96,96,231048,231048,231049,42.3778239847,-83.1183464835,231049,[],0,False,7.0,5.0,75,[],[],[]
97,97,154524,154524,154524,42.3713859778,-83.0952690364,154524,[6652],1,True,6.0,6.0,66,[],[],[]
98,98,237180,237180,237181,42.3428605513,-83.0911220117,237181,[],0,False,5.0,6.0,56,[],[],[]
99,99,378305,378305,378307,42.4006253325,-83.0390022326,378307,[167],1,True,8.0,7.0,87,[],"['Failure of owner to obtain certificate of compliance', 'Failure of owner to comply with an emergency or imminent danger order of one- or two-family dwelling or building', 'Failure of owner to comply with an emergency or imminent danger order of one- or two-family dwelling or building']",[]
100,100,305899,305899,305901,42.4427943368,-83.1345569986,305901,[],0,False,,5.0,NA5,[],[],[]
101,101,143154,143154,143154,42.3027196919,-83.1316193797,143154,[4494],1,True,2.0,4.0,24,[],"['Failure of owner to obtain certificate of compliance', 'Failure to obtain certificate of registration for rental property', 'Allowing bulk solid waste to lie or accumulate on or about the premises']",[]
102,102,310794,310794,310796,42.3877505471,-83.1970837786,310796,"[2674, 2880]",2,True,7.0,3.0,73,[],"['Violation of time limit for approved containers to remain at curbside - early or late', 'Failure of owner to keep property, its sidewalks, or adjoining public property free from solid waste']",[]
103,103,205091,205091,205092,42.4012323484,-82.970162604,205092,[],0,False,8.0,9.0,89,[],[],[]
104,104,302719,302719,302721,42.3445381795,-83.2321136801,302721,[],0,False,5.0,2.0,52,[],[],[]
105,105,364537,364537,364539,42.3704913935,-83.0127907484,364539,[149],1,True,6.0,8.0,68,[],"['Removal of snow and ice from sidewalks', 'Excessive weeds or plant growth one- or two-family dwelling or commercial Building', 'Failure of owner of one- or two-family dwelling to comply with an emergency or imminent danger order concerining an unsafe or unsanitary structure or unlawful occupancy', 'Failure of owner to keep property, its sidewalks, or adjoining public property free from solid waste', 'Excessive weeds or plant growth one- or two-family dwelling or commercial Building', 'Excessive weeds or plant growth one- or two-family dwelling or commercial Building', 'Failure of owner to keep property, its sidewalks, or adjoining public property free from solid waste', 'Excessive weeds or plant growth one- or two-family dwelling or commercial Building', 'Failure of owner to obtain certificate of compliance', 'Failure of owner of one- or two-family dwelling to comply with an emergency or imminent danger order concerining an unsafe or unsanitary structure or unlawful occupancy']",[]
106,106,289959,289959,289961,42.4005144827,-83.1668493687,289961,[],0,False,8.0,4.0,84,['Abandoned Vehicle'],[],['LARCENY']
107,107,123688,123688,123688,42.3348271164,-83.1390138916,123688,"[349, 356]",2,True,4.0,4.0,44,[],[],[]
108,108,365146,365146,365148,42.3732940586,-83.1762353283,365148,[2511],1,True,6.0,3.0,63,[],"['Failure of owner to obtain certificate of compliance', 'Failure of owner to obtain certificate of compliance', 'Failure of owner to obtain certificate of compliance']",[]
109,109,322843,322843,322845,42.412490769,-83.0158733201,322845,[4714],1,True,9.0,8.0,98,[],['Excessive weeds or plant growth one- or two-family dwelling or commercial Building'],[]
110,110,233989,233989,233990,42.3782649955,-83.1293354547,233990,[2125],1,True,6.0,5.0,65,[],['Failure of owner to obtain certificate of compliance'],[]
111,111,383662,383662,383664,42.3715878952,-82.9914768566,383664,"[1628, 7132]",2,True,6.0,8.0,68,[],[],[]
112,112,129939,129939,129939,42.4234262987,-83.0655691904,129939,[4195],1,True,9.0,6.0,96,[],"['Excessive weeds or plant growth one- or two-family dwelling or commercial Building', 'Excessive weeds or plant growth one- or two-family dwelling or commercial Building', 'Allowing bulk solid waste to lie or accumulate on or about the premises', 'Allowing bulk solid waste to lie or accumulate on or about the premises', 'Excessive weeds or plant growth one- or two-family dwelling or commercial Building', 'Allowing bulk solid waste to lie or accumulate on or about the premises', 'Excessive weeds or plant growth one- or two-family dwelling or commercial Building']",[]
113,113,347950,347950,347952,42.4081074235,-83.1328439728,347952,[],0,False,8.0,5.0,85,[],[],[]
114,114,232135,232135,232136,42.4110288212,-83.0551467027,232136,[1800],1,True,9.0,7.0,97,[],['Allowing bulk solid waste to lie or accumulate on or about the premises'],['AGGRAVATED ASSAULT']
115,115,39280,39280,39279,42.4341229074,-83.171623875,39279,[],0,False,,3.0,NA3,[],[],[]
116,116,320728,320728,320730,42.3971229301,-83.1144730141,320730,[],0,False,8.0,5.0,85,[],[],[]
117,117,237382,237382,237383,42.390009441,-83.1077515249,237383,[1959],1,True,8.0,5.0,85,[],[],[]
118,118,77337,77337,77337,42.314418134,-83.0976489614,77337,[5363],1,True,3.0,6.0,36,[],"['Failure of owner to keep property, its sidewalks, or adjoining public property free from solid waste', 'Failure of owner to obtain certificate of compliance', 'Failure of owner to keep property, its sidewalks, or adjoining public property free from solid waste', 'Failure of owner to keep property, its sidewalks, or adjoining public property free from solid waste', 'Failure of owner to obtain certificate of compliance', 'Failure to obtain certificate of registration for rental property', 'Failure of owner to keep property, its sidewalks, or adjoining public property free from solid waste', 'Failure of owner to obtain certificate of compliance', 'Failure to obtain certificate of registration for rental property', 'Allowing bulk solid waste to lie or accumulate on or about the premises', 'Allowing bulk solid waste to lie or accumulate on or about the premises', 'Allowing bulk solid waste to lie or accumulate on or about the premises', 'Allowing bulk solid waste to lie or accumulate on or about the premises']",['DAMAGE TO PROPERTY']
119,119,67669,67669,67669,42.3715528934,-82.992458348,67669,[1895],1,True,6.0,8.0,68,[],[],[]
120,120,14856,14856,14855,42.34941668,-83.2432401544,14855,[],0,False,5.0,2.0,52,[],[],[]
121,121,218636,218636,218637,42.4221590123,-83.2314726868,218637,[],0,False,9.0,2.0,92,[],[],[]
122,122,216823,216823,216824,42.3088236591,-83.1102794288,216824,[],0,False,3.0,5.0,35,['Tree Issue'],"['Failure of owner to obtain certificate of compliance', 'Failure to obtain certificate of registration for rental property']",[]
123,123,307112,307112,307114,42.3666889665,-82.9658745648,307114,[],0,False,6.0,9.0,69,[],[],[]
124,124,105143,105143,105143,42.3750229452,-83.0740125966,105143,[],0,False,7.0,6.0,76,['Abandoned Vehicle'],[],['OUIL DISPOSE OF VEHICLE TO AVOID FORFEITURE']
125,125,380462,380462,380464,42.3736000221,-83.1429289153,380464,[],0,False,7.0,4.0,74,[],"['Failure of owner to obtain certificate of compliance', 'Failure of owner to obtain certificate of compliance', 'Failure of owner to obtain certificate of compliance']",[]
126,126,99575,99575,99575,42.3471245547,-83.106979479,99575,[5485],1,True,5.0,5.0,55,[],[],[]
127,127,81194,81194,81194,42.3893393314,-83.0089912949,81194,[5142],1,True,7.0,8.0,78,[],['Failure of owner to obtain certificate of compliance'],[]
128,128,10044,10044,10043,42.4330072363,-82.9758051236,10043,[5543],1,True,,9.0,NA9,[],['Excessive weeds or plant growth one- or two-family dwelling or commercial Building'],[]
129,129,8173,8173,8172,42.4158384134,-82.9174820985,8172,[],0,False,9.0,,9NA,[],[],[]
130,130,334788,334788,334790,42.3824740367,-83.1765323317,334790,[],0,False,7.0,3.0,73,[],[],[]
131,131,151432,151432,151432,42.3625804904,-83.0845295527,151432,[6438],1,True,6.0,6.0,66,[],[],[]
132,132,346578,346578,346580,42.3413540919,-83.1304369177,346580,[],0,False,5.0,5.0,55,['Illegal Dumping / Illegal Dump Sites'],[],[]
133,133,85726,85726,85726,42.3773939944,-83.1261684623,85726,[],0,False,7.0,5.0,75,[],[],[]
134,134,330830,330830,330832,42.3881036054,-83.2492111361,330832,[],0,False,7.0,2.0,72,[],[],[]
135,135,339810,339810,339812,42.4129028954,-83.119861015,339812,[6477],1,True,9.0,5.0,95,[],[],[]
136,136,358038,358038,358040,42.3282111211,-83.1250869172,358040,[2361],1,True,3.0,5.0,35,[],['Failure of owner to obtain certificate of compliance'],[]
137,137,190480,190480,190481,42.3663896398,-83.2389091644,190481,[],0,False,6.0,2.0,62,[],[],[]
138,138,363656,363656,363658,42.4410401816,-82.9900670139,363658,[4305],1,True,,8.0,NA8,[],"['Excessive weeds or plant growth one- or two-family dwelling or commercial Building', 'Allowing bulk solid waste to lie or accumulate on or about the premises', 'Allowing bulk solid waste to lie or accumulate on or about the premises', 'Allowing bulk solid waste to lie or accumulate on or about the premises', 'Allowing bulk solid waste to lie or accumulate on or about the premises', 'Excessive weeds or plant growth one- or two-family dwelling or commercial Building']",[]
139,139,203492,203492,203493,42.4225667848,-82.9683366668,203493,[5026],1,True,9.0,9.0,99,[],[],[]
140,140,3299,3299,3298,42.4235962632,-82.9771850911,3298,[3994],1,True,9.0,9.0,99,[],"['Failure of owner to keep property, its sidewalks, or adjoining public property free from solid waste', 'Failure of owner to keep property, its sidewalks, or adjoining public property free from solid waste']",[]
141,141,328532,328532,328534,42.3655229417,-83.044778157,328534,[],0,False,6.0,7.0,67,[],[],[]
142,142,280708,280708,280710,42.3698584032,-82.990357863,280710,[4657],1,True,6.0,8.0,68,[],[],[]
143,143,301326,301326,301328,42.4055378026,-83.0260447777,301328,[1816],1,True,8.0,8.0,88,[],['Failure of owner to obtain certificate of compliance'],[]
144,144,201672,201672,201673,42.4395657316,-82.968049707,201673,[4852],1,True,,9.0,NA9,[],"['Failure of owner to obtain certificate of compliance', 'Failure to obtain certificate of registration for rental property']",['JUSTIFIABLE HOMICIDE']
145,145,26458,26458,26457,42.3660624106,-82.9921923386,26457,[],0,False,6.0,8.0,68,[],[],[]
146,146,353604,353604,353606,42.3846178448,-82.9959358455,353606,[],0,False,7.0,8.0,78,['Running Water in a Home or Building'],[],[]
147,147,203098,203098,203099,42.3917638412,-83.0240132584,203099,[],0,False,8.0,7.0,87,[],[],[]
148,148,349327,349327,349329,42.2979582001,-83.1266673843,349329,[2793],1,True,1.0,5.0,15,[],"['Failure of owner to obtain certificate of compliance', 'Failure to obtain certificate of registration for rental property', 'Failure to maintain a vacant building or structure in accordance with the requirements of Section 9-1-113 of the Detroit City Code: (1) - (12) (One or Two Family dwelling)', 'Failed to obtain the required Certificate of registration for Vacant Building', 'Failure of owner to obtain certificate of compliance']",[]
149,149,87724,87724,87724,42.4136363653,-82.9434838652,87724,[4140],1,True,9.0,,9NA,[],"['Failure of owner to obtain certificate of compliance', 'Failure of owner to obtain certificate of compliance', 'Failure to obtain certificate of registration for rental property', 'Failure of owner of one- or two-family dwelling to comply with an emergency or imminent danger order concerining an unsafe or unsanitary structure or unlawful occupancy', 'Excessive weeds or plant growth one- or two-family dwelling or commercial Building', 'Failure of owner to keep property, its sidewalks, or adjoining public property free from solid waste', 'Allowing bulk solid waste to lie or accumulate on or about the premises']",[]
150,150,102000,102000,102000,42.3778575004,-83.1326979453,102000,[],0,False,7.0,5.0,75,[],[],[]
151,151,246939,246939,246940,42.3523445392,-83.1053169887,246940,[],0,False,6.0,5.0,65,[],[],[]
152,152,63035,63035,63035,42.4410938531,-83.1433054692,63035,[],0,False,,4.0,NA4,[],[],[]
153,153,153036,153036,153036,42.4187507345,-83.0037763683,153036,[],0,False,9.0,8.0,98,[],[],['TRAFFIC VIOLATIONS-MOTORCYCLE VIOLATIONS']
154,154,205488,205488,205489,42.35548145,-83.0237396929,205489,"[389, 413]",2,True,5.0,8.0,58,[],"['Failure to obtain certificate of registration for rental property', 'Failure of owner to obtain certificate of compliance', 'Failure of owner to obtain certificate of compliance', 'Failure to obtain certificate of registration for rental property', 'Excessive weeds or plant growth one- or two-family dwelling or commercial Building', 'Excessive weeds or plant growth one- or two-family dwelling or commercial Building', 'Excessive weeds or plant growth one- or two-family dwelling or commercial Building']",[]
155,155,102028,102028,102028,42.3606704191,-83.0084287407,102028,[],0,False,6.0,8.0,68,[],[],[]
156,156,23768,23768,23767,42.4414397118,-82.9745966523,23767,[457],1,True,,9.0,NA9,[],[],[]
157,157,323481,323481,323483,42.4274637829,-82.9619112341,323483,[4066],1,True,9.0,9.0,99,[],"['Excessive weeds or plant growth one- or two-family dwelling or commercial Building', 'Allowing bulk solid waste to lie or accumulate on or about the premises']",['ASSAULT']
